Player A,Player B,Player C,Condition,Round,Round Type,Event Date,Moon,Color [A],Color [B],Color [C],Element [A],Element [B],Element [C],Horoscope [A],Horoscope [B],Horoscope [C],Exec A,Upside [A],Exec [B],Upside [B],Exec C,Upside [C],Winner,ML A,ML B,ML C
Andrew Novak,Karl Vilips,Sungjae Im,Calm,Round 1,Open,3/19/2026,New Moon,Yellow,Blue,Yellow,Wood,Metal,Earth,ARIES,LEO,ARIES,50,75,59,85,50,50,Sungjae Im,160,240,140
Matthieu Pavon,Eric Cole,Kevin Roy,Calm,Round 1,Open,3/19/2026,New Moon,Blue,Yellow,Yellow,Water,Earth,Metal,SCORPIO,GEMINI,PISCES,25,25,49,57,25,50,Matthieu Pavon,240,160,145
Lee Hodges,Mark Hubbard,Henrik Norlander,Calm,Round 1,Open,3/19/2026,New Moon,Purple,Yellow,Yellow,Wood,Earth,Fire,GEMINI,GEMINI,ARIES,75,50,71,65,25,25,Lee Hodges,137,190,210
Erik van Rooyen,Tom Kim,Zac Blair,Calm,Round 1,Open,3/19/2026,New Moon,Purple,Purple,Green,Metal,Water,Metal,PISCES,CANCER,LEO,75,50,49,57,75,50,Tom Kim,220,137,180
Jeremy Paul,A.J. Ewart,Gordon Sargent,Calm,Round 1,Open,3/19/2026,New Moon,Yellow,Yellow,Yellow,Wood,Earth,Water,PISCES,TAURUS,GEMINI,50,75,49,57,50,75,A.J. Ewart,180,162,187
Jesper Svensson,Zach Bauchou,Jeffrey Kang,Calm,Round 1,Open,3/19/2026,New Moon,Yellow,Yellow,Yellow,Fire,Wood,Metal,PISCES,CAPRICORN,CANCER,50,75,34,40,50,50,Push (Jesper Svensson / Zach Bauchuz),140,160,250
John Parry,John Vanderlaan,Marcelo Rozo,Calm,Round 1,Open,3/19/2026,New Moon,Yellow,Purple,Purple,Fire,Fire,Earth,SCORPIO,CANCER,VIRGO,50,50,79,65,25,50,John Vanderlaan,110,175,300
Kris Ventura,Kensei Hirata,Adrien Saddier,Calm,Round 1,Open,3/19/2026,New Moon,Purple,Yellow,Yellow,Wood,Metal,Water,PISCES,SAGITTARIUS,TAURUS,75,50,79,65,50,75,Push (Kris Ventura / Kensei Hirata / Adrien Saddier),145,240,160
Austin Eckroat,Doug Ghim,David Lipsky,Calm,Round 1,Open,3/19/2026,New Moon,Blue,Yellow,Green,Earth,Fire,Earth,CAPRICORN,ARIES,CANCER,50,50,34,40,50,75,Doug Ghim,175,150,210
Patton Kizzire,Gary Woodland,Adam Hadwin,Calm,Round 1,Open,3/19/2026,New Moon,Green,Yellow,Yellow,Fire,Wood,Fire,PISCES,GEMINI,SCORPIO,75,50,71,65,50,50,Gary Woodland,210,170,160
Rafael Campos,Seamus Power,Rasmus Hojgaard,Calm,Round 1,Open,3/19/2026,New Moon,Yellow,Yellow,Yellow,Earth,Fire,Metal,ARIES,PISCES,PISCES,50,75,34,40,50,50,Rasmus Hojgaard,300,150,125
Adam Svensson,Michael Kim,Bud Cauley,Calm,Round 1,Open,3/19/2026,New Moon,Yellow,Yellow,Yellow,Water,Water,Metal,CAPRICORN,CANCER,PISCES,75,50,71,65,50,75,Bud Cauley,230,180,130
Adam Schenk,Kevin Yu,Webb Simpson,Calm,Round 1,Open,3/19/2026,New Moon,Blue,Green,Yellow,Metal,Earth,Wood,AQUARIUS,LEO,LEO,50,75,49,57,25,50,Webb Simpson,190,150,187
Jacob Bridgeman,Wyndham Clark,Jordan Spieth,Calm,Round 1,Open,3/19/2026,New Moon,Blue,Blue,Yellow,Earth,Water,Water,SAGITTARIUS,SAGITTARIUS,LEO,25,25,71,65,25,50,Jacob Bridgeman,130,260,170
Garrick Higgo,Taylor Pendrith,Ryo Hisatsune,Calm,Round 1,Open,3/19/2026,New Moon,Yellow,Blue,Yellow,Earth,Metal,Water,TAURUS,GEMINI,VIRGO,50,50,59,85,25,50,Ryo Hisatsune,260,170,125
Ben Griffin,Sahith Theegala,Tony Finau,Calm,Round 1,Open,3/19/2026,New Moon,Yellow,Yellow,Purple,Fire,Fire,Earth,TAURUS,SAGITTARIUS,VIRGO,25,25,59,85,75,50,Tony Finau,150,145,250
Brice Garnett,Dylan Wu,Max Meissner,Calm,Round 1,Open,3/19/2026,New Moon,Blue,Purple,Blue,Water,Fire,Earth,VIRGO,CANCER,AQUARIUS,75,50,49,57,50,75,Dylan Wu,240,210,110
Max Homa,Kevin Streelman,Danny Walker,Calm,Round 1,Open,3/19/2026,New Moon,Blue,Yellow,Yellow,Metal,Earth,Wood,SCORPIO,SCORPIO,LIBRA,25,50,59,85,25,50,Push (Kevin Streelman / Danny Walker),105,240,230
Nick Dunlap,Rico Hoey,Chandler Blanchet,Calm,Round 1,Open,3/19/2026,New Moon,Yellow,Blue,Blue,Water,Wood,Wood,CAPRICORN,VIRGO,AQUARIUS,50,75,34,40,50,75,Chandler Blanchet,260,137,160
Vince Whaley,Kristoffer Reitan,Johnny Keefer,Calm,Round 1,Open,3/19/2026,New Moon,Yellow,Yellow,Blue,Wood,Earth,Metal,PISCES,PISCES,CAPRICORN,50,50,71,65,50,50,Vince Whaley,220,150,162
Zecheng Dou,Jackson Suber,Neal Shipley,Calm,Round 1,Open,3/19/2026,New Moon,Yellow,Yellow,Blue,Fire,Earth,Metal,AQUARIUS,LIBRA,CAPRICORN,50,50,34,40,50,50,Zecheng Dou,145,190,190
David Skinns,Dan Brown,Davis Chatfield,Calm,Round 1,Open,3/19/2026,New Moon,Blue,Blue,Yellow,Water,Wood,Earth,AQUARIUS,SCORPIO,GEMINI,50,50,59,85,25,50,David Skinns,200,130,210
Paul Peterson,Paul Waring,Blades Brown,Calm,Round 1,Open,3/19/2026,New Moon,Purple,Blue,Yellow,Earth,Wood,Fire,CANCER,AQUARIUS,GEMINI,75,50,34,40,50,50,Paul Peterson,190,240,120
Jordan Smith,David Ford,Greg Koch,Calm,Round 1,Open,3/19/2026,New Moon,Blue,Blue,#ERROR!,Water,Water,,SCORPIO,VIRGO,,25,50,71,65,#ERROR!,,Push (Jordan Smith / David Ford),110,115,600
